,Object designation,Diameter,Impact date/time in UTC,Probabilidad,PS max,Years,Vel. in km/s
965,2019CM5,9,2099-02-02 02:44,1/1.13E6,-7.83,2065-2118,12
966,2017KH5,11,2067-05-26 09:49,1/4.88E6,-7.84,2067-2074,19
967,2019VE4,9,2110-10-26 07:45,1/1.22E6,-7.84,2072-2119,14
968,2022AA5,70,2109-02-14 12:21,1/1.37E8,-7.84,2109-2121,14
969,2020DQ16,10,2103-02-18 23:15,1/1.63E6,-7.84,2080-2122,15
970,2022QD8,25,2102-09-02 18:12,1/2.7E7,-7.85,2102,20
971,2019UB8,6,2097-10-30 23:44,1/505050,-7.85,2053-2119,15
972,2013CL22,40,2119-02-02 22:22,1/3.89E7,-7.86,2119,15
973,2022GW2,9,2108-04-20 10:04,1/1.11E6,-7.87,2073-2118,13
974,2014HE199,30,2039-04-13 21:37,1/1.62E8,-7.87,2030-2115,18
975,2019WV1,8,2111-11-22 14:30,1/900900,-7.87,2078-2119,14
976,2021XD6,7,2118-12-11 14:28,1/523560,-7.88,2103-2122,12
977,2005CM7,21,2079-02-02 01:21,1/2.22E7,-7.88,2028-2108,22
978,2010VO139,18,2043-11-10 11:41,1/4.88E7,-7.88,2028-2119,24
979,2021VX22,3,2110-11-09 05:49,1/70422,-7.88,2101-2121,11
980,2014LJ,7,2069-05-18 13:34,1/862068,-7.89,2055-2120,12
981,2019BX1,8,2120-01-10 07:40,1/719424,-7.89,2067-2120,12
982,2016GS134,10,2070-03-31 14:20,1/3.19E6,-7.89,2070-2101,16
983,2019QR,20,2100-09-10 09:07,1/8.26E6,-7.89,2100,13
984,2022JM,6,2103-11-11 03:46,1/446428,-7.89,2092-2121,12
985,2022OC4,11,2113-11-14 02:19,1/2.02E6,-7.89,2085-2119,13
986,2021CK3,4,2107-02-08 01:45,1/237529,-7.91,2056-2120,18
987,2020FD,10,2043-03-19 00:33,1/1.2E7,-7.91,2027-2065,19
988,2020NY,21,2090-07-09 22:50,1/1.67E7,-7.91,2090-2114,16
989,2022SL48,16,2089-09-23 21:29,1/7.04E6,-7.91,2058-2089,14
990,2022JV,4,2106-05-06 14:24,1/249376,-7.92,2092-2121,15
991,2014QN266,20,2101-08-23 11:01,1/7.58E6,-7.92,2099-2118,12
992,2016TQ54,12,2096-10-02 20:54,1/3.29E6,-7.92,2082-2118,14
993,2019TD,5,2060-09-29 07:54,1/847457,-7.92,2042-2060,15
994,2014EU,10,2117-03-03 00:52,1/1.31E6,-7.92,2080-2121,13
995,2021CD,13,2118-01-28 13:30,1/3.22E6,-7.93,2115-2121,15
996,2012XL55,14,2025-12-08 22:00,1/5.41E7,-7.93,2025-2093,22
997,2022EF1,6,2060-03-05 12:07,1/1.29E6,-7.94,2044-2122,15
998,2009VT1,4,2046-10-19 08:42,1/549450,-7.94,2046-2119,13
999,2020XP3,40,2119-12-14 09:39,1/1.17E8,-7.94,2119,26
1000,2021AJ1,50,2103-01-01 18:51,1/8.06E7,-7.94,2103,15
1001,2020AC1,7,2110-01-02 09:06,1/787401,-7.95,2093-2121,13
1002,2007FP3,7,2106-03-16 04:50,1/877193,-7.95,2055-2118,15
1003,2020WT4,10,2071-11-10 00:57,1/2.43E6,-7.95,2062-2120,12
1004,2021RS5,8,2121-03-06 23:45,1/826446,-7.96,2072-2121,14
1005,2015JC1,14,2068-05-11 22:46,1/1.08E7,-7.96,2068-2102,19
1006,2021YB,11,2120-12-22 12:13,1/1.89E6,-7.97,2099-2120,12
1007,2020XF4,11,2119-12-18 18:55,1/2.07E6,-7.98,2104-2120,13
1008,2010UE,4,2031-10-16 17:51,1/2.25E6,-7.98,2031,22
1009,2016WT,4,2107-11-19 11:48,1/248138,-7.99,2069-2119,15
1010,2018WA1,3,2111-11-08 21:54,1/116009,-7.99,2061-2119,12
1011,2019VB5,16,2053-05-14 20:10,1/57471,-7.99,2052-2119,13
1012,2015HE1,14,2098-04-21 08:00,1/7.94E6,-8.0,2098-2119,18
1013,2017UF,9,2082-10-16 07:38,1/6.67E6,-8.0,2066-2082,26
1014,2018CN,18,2082-02-07 23:46,1/2.74E7,-8.0,2082,23
1015,2020RB7,12,2116-09-20 12:23,1/6.41E6,-8.0,2104-2117,22
1016,2018RJ3,10,2070-09-08 03:22,1/3.24E6,-8.01,2070,14
1017,2019NX5,5,2106-06-25 17:38,1/374531,-8.01,2069-2119,11
1018,2021BP13,12,2094-01-20 13:56,1/7.04E6,-8.01,2094,15
1019,2016UQ36,10,2041-10-24 15:41,1/9.26E6,-8.02,2041-2044,16
1020,2019EF,16,2099-09-01 08:13,1/1.54E7,-8.02,2097-2119,21
1021,2005UC3,13,2109-10-05 05:18,1/3.76E6,-8.03,2074-2109,14
1022,2012CR,160,2025-05-20 19:23,1/8.4E9,-8.03,2025,11
1023,2010CK19,9,2116-08-19 13:35,1/1.3E6,-8.03,2089-2122,12
1024,2011CF66,12,2067-09-29 20:21,1/7.04E6,-8.04,2023-2118,14
1025,2015VL64,8,2097-11-02 16:40,1/1.42E6,-8.04,2075-2118,14
1026,2020UQ3,60,2112-07-26 16:22,1/1.68E8,-8.05,2112,14
1027,2021FE2,14,2100-03-25 16:56,1/6.62E6,-8.05,2100,15
1028,2012UE,7,2053-10-20 13:59,1/3.36E6,-8.05,2040-2058,17
1029,2020GV2,15,2078-04-10 02:22,1/1.54E7,-8.05,2077-2078,19
1030,2022WE7,9,2111-11-30 10:10,1/3.13E6,-8.05,2091-2119,20
1031,2021JU6,12,2068-05-13 13:57,1/8.33E6,-8.06,2068,16
1032,2016WF7,6,2113-11-21 06:08,1/657894,-8.06,2093-2113,13
1033,2017UL5,19,2116-10-24 08:41,1/9.52E6,-8.06,2100-2116,14
1034,2019LA2,16,2109-12-04 18:14,1/1.17E7,-8.06,2109-2116,18
1035,2010YD,26,2052-03-05 01:43,1/1.99E7,-8.07,2052,14
1036,2011EM40,9,2054-09-12 21:13,1/4.59E6,-8.07,2049-2115,15
1037,2016FE15,6,2068-03-28 04:51,1/1.8E6,-8.07,2062-2116,17
1038,2018PA25,40,2041-01-21 20:41,1/4E8,-8.07,2036-2085,19
1039,2018WA3,9,2055-11-28 19:30,1/8.85E6,-8.07,2055-2060,20
1040,2022UE16,29,2088-10-13 08:36,1/9.35E7,-8.07,2088,20
1041,2013GW38,7,2098-04-07 10:52,1/1.41E6,-8.08,2070-2118,15
1042,2020TT1,13,2117-10-11 07:21,1/6.94E6,-8.08,2117,18
1043,2021XK3,13,2062-11-30 21:40,1/1.15E7,-8.08,2057-2066,16
1044,2022SU7,8,2121-09-29 08:41,1/943396,-8.08,2111-2121,12
1045,2022GL,5,2070-11-03 11:34,1/662251,-8.1,2070-2109,13
1046,2022WW2,26,2119-10-30 13:52,1/3.13E7,-8.11,2119,16
1047,2009WZ53,50,2084-05-22 14:10,1/3.42E8,-8.11,2025-2109,22
1048,2022SJ9,12,2071-12-20 04:08,1/8.4E6,-8.11,2067-2099,15
1049,2021GC8,27,2095-04-14 14:35,1/129870,-8.12,2037-2119,13
1050,2017UC52,50,2112-11-26 08:05,1/1.89E8,-8.12,2101-2112,18
1051,2017UL6,14,2069-10-27 10:32,1/39062,-8.12,2062-2119,13
1052,2014UY57,13,2119-10-20 05:30,1/4.74E6,-8.13,2100-2119,14
1053,2007VJ3,40,2112-10-29 03:34,1/1.03E8,-8.15,2112,20
1054,2014HY198,4,2082-05-06 20:23,1/411522,-8.15,2057-2119,13
1055,2021CF1,22,2077-02-02 18:57,1/4.69E7,-8.16,2077,17
1056,2009QR,12,2061-10-10 23:12,1/6.62E6,-8.16,2042-2061,12
1057,2021BO2,8,2050-01-13 09:20,1/5.92E6,-8.16,2050,15
1058,2020BJ14,50,2082-01-02 06:10,1/2.42E8,-8.17,2082,15
1059,2016XL23,5,2080-11-29 13:46,1/900900,-8.17,2080-2098,15
1060,2020DO2,15,2088-02-12 12:27,1/3.12E7,-8.18,2083-2088,25
1061,2021RT4,8,2102-09-08 00:50,1/2.29E6,-8.18,2088-2117,15
1062,2005TK50,6,2106-03-15 17:20,1/1.87E6,-8.18,2054-2106,23
1063,2013XS21,5,2111-12-13 13:52,1/454545,-8.18,2076-2117,13
1064,2015KH160,18,2119-10-05 10:24,1/1.34E8,-8.18,2117-2119,33
1065,2021XX4,7,2118-12-14 13:21,1/1.67E6,-8.18,2105-2120,17
1066,2022UV4,6,2120-10-18 22:37,1/694444,-8.19,2092-2121,12
1067,2016VA18,7,2041-08-05 21:43,1/7.35E6,-8.19,2027-2118,12
1068,2017YM14,10,2074-12-25 15:03,1/9.62E6,-8.19,2056-2074,22
1069,2018FG1,12,2107-03-22 16:33,1/5.24E6,-8.19,2075-2119,15
1070,2020FG,9,2107-03-22 19:35,1/4.39E6,-8.2,2093-2118,19
1071,2021AC2,9,2079-04-06 17:56,1/4.08E6,-8.21,2079,13
1072,2014KW76,9,2115-05-29 14:36,1/3.5E6,-8.21,2094-2117,19
1073,2019QS,40,2096-02-20 20:57,1/2.4E8,-8.22,2096,24
1074,2022GE,13,2105-10-03 18:49,1/9.52E6,-8.23,2100-2120,17
1075,2020SL6,9,2108-09-28 00:40,1/4.55E6,-8.23,2108,18
1076,2020CK2,5,2079-02-08 18:51,1/806451,-8.23,2057-2120,12
1077,2010XU,30,2116-11-14 11:34,1/2.76E7,-8.23,2058-2116,13
1078,2016EL1,10,2087-09-06 12:00,1/8.85E6,-8.23,2073-2114,23
1079,2016TG94,4,2114-10-10 07:44,1/406504,-8.23,2093-2119,14
1080,2017WY27,9,2116-11-25 18:02,1/2.72E6,-8.23,2062-2118,14
1081,2020FU2,7,2098-03-20 15:24,1/2.12E6,-8.23,2092-2115,17
1082,2020GY2,70,2093-05-03 08:17,1/6.9E8,-8.23,2093-2112,19
1083,2021XQ4,16,2069-05-26 09:25,1/4.27E7,-8.24,2054-2112,21
1084,2017UW5,6,2081-10-11 00:24,1/2.44E6,-8.24,2081-2119,17
1085,2021RO16,17,2101-04-24 12:59,1/1.39E7,-8.24,2101-2115,14
1086,2008CB6,14,2110-04-30 00:58,1/6.58E6,-8.25,2093-2110,13
1087,2020KU2,24,2116-10-15 22:06,1/4.52E7,-8.25,2105-2116,18
1088,2020PT2,20,2085-08-23 00:37,1/2.73E7,-8.25,2085,14
1089,2021TT,9,2060-09-30 05:01,1/1.21E7,-8.25,2060,19
1090,2020YA2,8,2121-12-10 01:05,1/1.66E6,-8.26,2108-2121,12
1091,2021WU,21,2106-11-24 21:43,1/4.1E7,-8.26,2106,20
1092,2020DN3,15,2112-02-25 12:44,1/1.44E7,-8.26,2107-2121,18
1093,2019QB1,11,2053-08-19 16:36,1/1.59E7,-8.26,2053,16
1094,2020TS1,5,2117-10-09 01:38,1/574712,-8.26,2103-2117,12
1095,2016BQ15,30,2072-02-07 09:07,1/2.15E8,-8.27,2072-2101,24
1096,2016FV7,90,2083-03-30 18:57,1/4.03E9,-8.27,2083,35
1097,2014QJ365,11,2117-08-27 02:46,1/5.52E6,-8.27,2095-2117,16
1098,2011FQ16,11,2105-03-25 11:52,1/4.31E6,-8.28,2066-2105,14
1099,2017BE30,20,2100-01-22 14:28,1/3.92E7,-8.28,2100,20
1100,2022BE3,30,2050-08-04 06:29,1/6.76E8,-8.28,2050,25
1101,2021AP6,16,2104-02-15 02:08,1/1.04E7,-8.29,2104-2121,12
1102,2021JB6,6,2112-05-15 10:54,1/1.27E6,-8.3,2110-2119,14
1103,2012WR10,7,2096-07-24 10:26,1/1.19E6,-8.3,2081-2118,12
1104,2015SK7,6,2100-09-21 18:25,1/1.73E6,-8.3,2059-2107,16
1105,2021LK9,29,2109-06-23 11:04,1/6.58E7,-8.3,2109,16
1106,2021JR57,40,2063-05-16 19:05,1/1.09E9,-8.3,2063-2121,21
1107,2009WQ52,8,2037-11-19 14:48,1/1.37E7,-8.31,2037,19
1108,2021WT,30,2073-11-21 20:07,1/2.42E8,-8.31,2073,19
1109,2008EF32,5,2025-03-09 21:18,1/1.02E7,-8.32,2025,19
1110,2020AR1,13,2072-01-08 11:58,1/1.43E7,-8.32,2070-2107,14
1111,2012TP20,10,2119-10-05 15:39,1/3.07E6,-8.33,2064-2119,13
1112,2013NR13,25,2114-07-14 21:46,1/4.33E7,-8.33,2114,16
1113,2014OP2,5,2071-07-25 14:14,1/2.11E6,-8.33,2071-2119,16
1114,2017FW158,8,2104-11-22 19:28,1/3.64E6,-8.33,2049-2117,19
1115,2017XY2,13,2108-06-13 08:01,1/7.87E6,-8.33,2108,14
1116,2021CS6,10,2055-02-14 22:42,1/1.14E7,-8.33,2055-2121,14
1117,2020XK1,27,2070-12-08 06:19,1/312500,-8.34,2070-2118,13
1118,2021NB,14,2092-08-19 14:29,1/1.46E7,-8.35,2092-2116,14
1119,2021UF4,14,2120-11-17 17:04,1/7.75E6,-8.35,2120,13
1120,2016AF2,10,2076-03-22 14:59,1/5.99E6,-8.36,2072-2110,13
1121,2016TH,5,2081-03-31 09:35,1/980392,-8.36,2072-2119,13
1122,2012DY13,9,2074-08-23 20:58,1/1.05E7,-8.37,2074-2116,20
1123,2014WR362,12,2078-11-21 07:30,1/1.48E7,-8.37,2078,16
1124,2017VF14,7,2093-11-13 16:47,1/3.27E6,-8.37,2080-2119,16
1125,2018BX5,6,2113-01-16 03:12,1/1.1E6,-8.37,2086-2118,14
1126,2019EH1,3,2064-08-21 03:59,1/1.08E6,-8.37,2051-2119,18
1127,2017UQ6,13,2080-08-25 07:24,1/9.52E6,-8.38,2075-2111,12
1128,2020XC,6,2085-05-05 18:30,1/1.26E6,-8.38,2085-2117,12
1129,2016DY30,28,2036-02-26 00:13,1/1.77E6,-8.39,2036-2118,19
1130,2016FC1,5,2088-03-10 23:42,1/2.22E6,-8.39,2082-2088,19
1131,2010RK53,10,2029-09-08 16:32,1/2.2E7,-8.4,2029,14
1132,2015FU344,23,2066-03-16 11:01,1/294985,-8.4,2057-2112,15
1133,2015XH55,5,2092-12-01 22:38,1/1.1E6,-8.4,2088-2117,13
1134,2018VP1,24,2025-11-02 05:09,1/2.36E6,-8.4,2024-2076,15
1135,2021GL16,20,2111-04-09 02:16,1/2.31E7,-8.4,2111,13
1136,2020JV38,10,2115-05-05 01:50,1/6.13E6,-8.41,2106-2115,16
1137,2020HV5,25,2091-04-07 15:48,1/6.71E7,-8.42,2091,15
1138,2020OX4,40,2119-07-20 18:14,1/3.03E8,-8.42,2119,20
1139,2022CL7,4,2073-02-13 05:32,1/1.28E6,-8.42,2067-2120,15
1140,2006BO7,5,2067-05-31 02:24,1/1.62E6,-8.43,2060-2117,15
1141,2008EF85,17,2119-03-16 02:38,1/1.61E7,-8.43,2113-2119,15
1142,2013UJ5,9,2061-08-07 03:49,1/9.8E6,-8.43,2061,16
1143,2019DM1,9,2088-02-27 11:55,1/9.35E6,-8.43,2072-2091,21
1144,2021BN,8,2108-08-04 06:18,1/2.84E6,-8.43,2079-2121,14
1145,2020BY1,19,2049-01-16 10:30,1/1.37E8,-8.43,2049,20
1146,2021WC1,7,2077-11-28 22:02,1/4.81E6,-8.43,2063-2079,16
1147,2022QT5,24,2112-02-17 12:48,1/5.38E7,-8.43,2112,15
1148,2020UX,21,2087-10-20 19:02,1/181159,-8.44,2087-2114,14
1149,2017UQ7,30,2096-10-22 18:05,1/1.66E8,-8.44,2094-2119,18
1150,2019JK,9,2053-04-29 12:50,1/2.17E7,-8.44,2053,21
1151,2019TN5,7,2041-09-30 18:21,1/1.42E7,-8.44,2041,16
1152,2004OD4,15,2100-07-17 00:28,1/1.36E7,-8.45,2100-2119,14
1153,2021BL2,7,2038-01-14 07:04,1/1.83E7,-8.46,2035-2120,17
1154,2020OX5,14,2033-08-04 16:33,1/1.07E8,-8.47,2033-2063,14
1155,2017FX158,6,2118-03-20 08:41,1/1.41E6,-8.47,2118,14
1156,2022JK2,9,2105-05-04 15:31,1/5.05E6,-8.47,2077-2121,14
1157,2021BO1,5,2077-01-20 03:46,1/2.51E6,-8.48,2077-2118,15
1158,2022OB5,6,2109-01-10 21:04,1/1.26E6,-8.48,2109-2122,11
1159,2022QC,30,2107-08-23 11:59,1/1.81E8,-8.49,2107,21
1160,2019BV2,28,2114-08-04 21:23,1/1.19E8,-8.49,2102-2114,19
1161,2017WF30,18,2031-02-21 21:49,1/1.68E8,-8.5,2028-2119,12
1162,2017TD6,13,2106-10-21 00:10,1/1.34E7,-8.51,2081-2106,14
1163,2016VZ17,11,2030-08-19 17:33,1/8.33E7,-8.51,2027-2119,15
1164,2021RY4,7,2110-09-09 11:22,1/3.32E6,-8.51,2110,15
1165,2021CD8,7,2099-01-29 21:54,1/2.4E6,-8.52,2094-2121,11
1166,2020HE7,6,2115-04-23 11:34,1/1.51E6,-8.52,2071-2118,12
1167,2010UZ7,40,2111-10-17 17:34,1/3.03E8,-8.53,2111,19
1168,2020BY11,9,2120-01-25 21:17,1/6.45E6,-8.53,2111-2121,17
1169,2018GD2,4,2108-10-16 01:31,1/990099,-8.54,2094-2122,14
1170,2018BP3,6,2115-01-24 02:42,1/2.07E6,-8.54,2099-2115,13
1171,2021RS14,8,2111-09-10 22:49,1/5.21E6,-8.54,2111-2117,15
1172,2021TG14,8,2114-10-19 20:22,1/5.15E6,-8.54,2080-2120,16
1173,2020FM1,5,2109-03-17 17:41,1/1.17E6,-8.55,2102-2119,13
1174,2019JY2,4,2119-04-28 04:40,1/840336,-8.56,2059-2119,14
1175,2022RD2,7,2087-09-03 04:07,1/2.93E6,-8.57,2083-2118,11
1176,2011AZ36,40,2102-12-22 02:15,1/9.71E7,-8.57,2055-2116,13
1177,2014HD198,4,2033-04-30 11:36,1/9.17E6,-8.57,2033-2092,20
1178,2004XO63,22,2065-12-15 01:18,1/7.19E7,-8.58,2065,14
1179,2019WH4,9,2113-11-26 23:49,1/1.02E7,-8.58,2113,14
1180,2021VY7,5,2054-05-10 21:12,1/4.85E6,-8.59,2044-2121,17
1181,2022OC5,13,2111-05-04 12:47,1/1.71E7,-8.59,2111,15
1182,2020WA1,7,2059-11-20 16:46,1/1.52E7,-8.6,2051-2082,23
1183,2022AB4,15,2119-01-13 15:27,1/2.47E7,-8.61,2107-2121,15
1184,2011UA64,14,2113-10-20 06:07,1/2.55E7,-8.61,2113,18
1185,2020SK4,3,2098-03-25 06:22,1/450450,-8.61,2072-2121,12
1186,2021XW5,12,2119-12-13 02:58,1/1.3E7,-8.62,2100-2119,15
1187,2008XC1,70,2085-12-17 14:48,1/9.8E8,-8.62,2085-2088,16
1188,2015HD1,12,2047-04-21 05:15,1/6.25E7,-8.62,2047-2060,19
1189,2018AT2,10,2091-01-10 16:31,1/1.01E7,-8.62,2091,13
1190,2020HM6,17,2083-04-20 12:12,1/6.8E7,-8.63,2083-2090,19
1191,2022UG,20,2071-10-16 15:43,1/9.17E7,-8.63,2071-2108,15
1192,2012BN123,80,2074-01-02 04:09,1/1.33E9,-8.64,2074-2110,11
1193,2017KC36,12,2037-05-25 04:58,1/7.63E7,-8.64,2037-2054,16
1194,2019QR8,9,2105-08-26 10:54,1/9.09E6,-8.64,2105,17
1195,2021NU3,6,2093-07-08 10:37,1/5.29E6,-8.65,2086-2097,16
1196,2003UM3,9,2086-10-13 02:19,1/1.28E7,-8.65,2040-2116,18
1197,2010GV23,11,2096-04-06 02:12,1/8E6,-8.68,2096-2119,12
1198,2018WG2,3,2103-05-21 13:07,1/649350,-8.68,2077-2119,13
1199,2014DK10,10,2060-02-21 20:48,1/2.57E7,-8.69,2060-2118,16
1200,2012YR1,18,2116-12-13 04:00,1/3.42E7,-8.7,2083-2116,14
1201,2021UT,5,2100-04-13 08:04,1/2.61E6,-8.71,2053-2117,16
1202,2017VC14,8,2111-11-17 19:06,1/5.59E6,-8.71,2075-2111,16
1203,2009EJ1,8,2039-11-09 06:01,1/2.1E7,-8.71,2025-2118,16
1204,2020MA1,29,2066-07-04 07:17,1/2.02E8,-8.71,2066,12
1205,2022DO2,9,2113-02-24 15:40,1/7.75E6,-8.72,2086-2113,14
1206,2007WT3,50,2101-11-08 01:23,1/1.21E9,-8.72,2101-2105,23
1207,2012RU16,27,2077-07-20 19:43,1/1.62E8,-8.72,2077-2106,14
1208,2020QC,11,2041-08-19 03:01,1/1.33E8,-8.74,2041,22
1209,2022OK,8,2120-07-20 15:33,1/4.48E6,-8.74,2107-2121,12
1210,2016FA14,12,2072-03-28 23:54,1/4.61E7,-8.75,2072-2090,19
1211,2022SO11,14,2090-10-06 02:34,1/5.08E7,-8.76,2086-2095,17
1212,2021GZ7,6,2106-04-06 22:17,1/3.86E6,-8.77,2080-2118,15
1213,2022UA5,4,2072-07-23 12:02,1/1.55E6,-8.78,2072-2119,12
1214,2022QC7,23,2113-09-20 08:18,1/9.43E7,-8.79,2113,14
1215,2006WV,13,2101-11-23 08:26,1/3.86E7,-8.79,2088-2114,18
1216,2020HN3,4,2118-10-22 06:19,1/1.17E6,-8.79,2070-2118,12
1217,2022CL3,8,2093-02-13 16:27,1/1.06E7,-8.79,2093,14
1218,2019KY3,17,2097-06-01 06:19,1/9.71E7,-8.8,2097,20
1219,2021GU12,9,2097-04-06 23:22,1/1.42E7,-8.81,2047-2097,14
1220,2020UB,9,2080-10-16 10:37,1/2.19E7,-8.83,2080,16
1221,2022AO1,4,2114-01-05 17:56,1/2.71E6,-8.84,2113-2117,18
1222,2009XQ2,30,2031-12-17 05:43,1/1.51E10,-8.84,2031,31
1223,2017FA159,7,2024-06-20 13:33,1/2.92E7,-8.85,2023-2119,12
1224,2022SZ9,8,2090-10-06 17:26,1/1.03E7,-8.86,2090-2108,14
1225,2020SC,16,2092-09-16 09:03,1/1.48E8,-8.86,2079-2092,25
1226,2016JA,11,2118-09-27 09:20,1/1.68E7,-8.86,2080-2118,13
1227,2019GP21,4,2101-04-02 01:13,1/1.97E6,-8.86,2072-2117,16
1228,2013VJ13,60,2099-10-30 09:28,1/2.23E9,-8.86,2099-2120,20
1229,2022KF6,24,2068-05-30 07:02,1/2.67E8,-8.86,2068-2106,15
1230,2015FN36,60,2117-03-16 03:57,1/1.87E9,-8.87,2117,25
1231,2016TM,11,2093-06-10 21:43,1/1.62E7,-8.88,2093-2116,12
1232,2022DK2,12,2054-02-28 07:29,1/1.31E8,-8.88,2054,20
1233,2022AL1,20,2091-01-10 16:53,1/1.12E8,-8.89,2091,15
1234,2022UA21,5,2108-10-25 12:20,1/2.9E6,-8.9,2102-2113,12
1235,2008EK68,4,2063-03-04 09:13,1/980392,-8.9,2029-2119,13
1236,2016WQ1,9,2115-09-26 14:45,1/1.19E7,-8.9,2105-2118,14
1237,2014WU200,6,2112-11-28 03:09,1/3.18E6,-8.91,2104-2117,11
1238,2012CS46,10,2106-02-27 10:22,1/1.53E7,-8.91,2095-2116,13
1239,2011AD3,18,2035-01-06 13:20,1/3.47E8,-8.92,2021-2119,17
1240,2020DP14,3,2083-02-17 14:09,1/1.33E6,-8.93,2056-2114,13
1241,2019VA,8,2112-11-03 12:06,1/8.77E6,-8.93,2112,14
1242,2021GC13,5,2117-04-14 08:16,1/3.23E6,-8.93,2117,13
1243,2020DG4,8,2106-02-19 09:59,1/1.04E7,-8.94,2096-2117,13
1244,2008US,19,2044-04-17 04:58,1/1.84E6,-8.94,2040-2089,22
1245,2022BK7,80,2075-01-10 12:41,1/4.41E9,-8.94,2075,13
1246,2022CB3,28,2087-02-07 04:58,1/2.07E6,-8.94,2075-2120,20
1247,2019JH7,4,2114-05-17 11:02,1/2.22E6,-8.95,2114-2118,14
1248,2020BA13,6,2101-01-27 18:05,1/6.62E6,-8.95,2062-2105,15
1249,2020RE4,9,2104-02-27 16:14,1/3.07E7,-8.95,2088-2119,21
1250,2021GE6,6,2101-07-11 03:40,1/5.03E6,-8.96,2069-2111,12
1251,2021LY1,8,2040-06-03 18:38,1/7.14E7,-8.97,2040,16
1252,2019UN8,4,2105-05-30 02:00,1/4.69E6,-8.97,2085-2117,22
1253,2021LL6,16,2088-06-26 18:26,1/8.26E7,-8.98,2088-2107,14
1254,2022EA7,11,2114-03-11 16:24,1/2.36E7,-8.98,2114,14
1255,2020RK,30,2098-08-31 04:51,1/4.67E8,-8.99,2098-2104,16
1256,2017TT3,26,2110-06-16 12:01,1/1.98E8,-8.99,2110-2119,14
1257,2018CK,18,2072-01-31 09:17,1/2.27E8,-9.0,2072,18
1258,2020UY,6,2068-10-21 21:20,1/8.93E6,-9.01,2068-2119,13
1259,2012VV76,27,2098-11-19 13:46,1/4.17E8,-9.03,2098,19
1260,2021JU3,13,2116-11-15 18:39,1/5.38E7,-9.03,2115-2116,16
1261,2021TS10,27,2083-04-10 06:59,1/3.7E8,-9.03,2070-2121,14
1262,2021FF2,8,2084-03-21 03:55,1/2.28E7,-9.04,2084-2108,15
1263,2020KD1,9,2042-05-23 08:22,1/7.63E7,-9.04,2042,14
1264,2021CY,10,2094-01-24 09:15,1/3.7E7,-9.04,2094,16
1265,1994ES1,7,2025-10-04 07:54,1/5.43E7,-9.05,2025-2107,22
1266,2021VN3,27,2069-08-26 19:38,1/2.02E6,-9.05,2069-2119,14
1267,2021LK6,7,2086-06-10 02:48,1/2.18E7,-9.06,2069-2116,17
1268,2016AQ164,4,2035-01-10 07:50,1/1.58E7,-9.06,2035-2044,18
1269,2020TE6,11,2066-10-17 12:07,1/7.35E7,-9.07,2066-2067,16
1270,2016LE10,14,2072-06-06 18:49,1/1.13E8,-9.09,2072,17
1271,2022UE61,9,2117-10-12 12:00,1/1.87E7,-9.09,2117-2120,13
1272,2014OQ392,110,2104-10-12 08:39,1/1.87E10,-9.1,2104,15
1273,2016UR36,11,2118-03-30 16:20,1/5.15E7,-9.1,2097-2118,20
1274,2021LL15,19,2100-05-26 00:23,1/1.48E8,-9.1,2074-2100,15
1275,2018LE1,10,2102-05-26 20:57,1/2.48E7,-9.11,2102,13
1276,2021XF1,4,2099-12-06 09:23,1/4.17E6,-9.11,2073-2121,14
1277,2022WC11,8,2119-11-21 17:48,1/1.58E7,-9.12,2118-2120,14
1278,2016JY5,13,2107-05-01 09:31,1/5.81E7,-9.13,2085-2119,13
1279,2019SE11,24,2053-09-18 18:11,1/9.01E8,-9.13,2053-2075,13
1280,2019SU1,7,2119-03-14 04:34,1/9.9E6,-9.13,2116-2119,12
1281,2022ED,5,2115-02-22 08:24,1/5.15E6,-9.13,2115,12
1282,2022GB,5,2122-03-31 21:25,1/4E6,-9.14,2121-2122,14
1283,2020CW,11,2057-01-31 13:36,1/751879,-9.14,2046-2106,23
1284,2019SO6,26,2077-02-06 14:41,1/1.08E9,-9.14,2077-2112,30
1285,2008XK,13,2066-11-23 20:17,1/1.17E8,-9.15,2066,18
1286,2013EC20,6,2068-03-09 22:24,1/8.7E6,-9.15,2068-2116,11
1287,2011CA7,3,2062-02-19 17:27,1/3.21E6,-9.16,2062-2119,14
1288,2017YE7,7,2050-06-29 13:53,1/7.87E7,-9.17,2022-2050,23
1289,2020FP5,4,2116-03-23 13:39,1/2.9E6,-9.17,2107-2117,13
1290,2021BV1,9,2107-01-19 03:58,1/5.68E7,-9.17,2096-2107,24
1291,2002CA26,22,2111-01-15 16:29,1/2.4E8,-9.18,2111,16
1292,2018BQ6,12,2081-01-31 17:10,1/7.25E7,-9.18,2081-2098,15
1293,2022FY,9,2121-03-24 06:38,1/2.28E7,-9.18,2121,13
1294,1993KA2,6,2060-11-10 00:22,1/2.84E7,-9.19,2060,26
1295,2012GD,15,2106-04-13 11:36,1/7.94E7,-9.19,2036-2106,14
1296,2020YM3,22,2103-06-29 01:59,1/1.82E8,-9.19,2103,12
1297,2015FH37,40,2115-03-30 12:29,1/1.47E9,-9.21,2113-2115,22
1298,2020VK6,28,2090-12-09 16:52,1/5.78E8,-9.22,2090-2111,15
